;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
131;348.0;282.5;616.5;159.0;244.5;592.0;0.0;1418.0;0.0;491.5
132;364.0;254.5;1277.5;254.5;905.5;1033.0;0.0;1396.5;0.0;352.5
133;192.0;217.5;1191.0;47.5;743.0;903.0;0.0;1371.5;0.0;351.5
134;219.5;429.5;1077.0;0.0;124.0;128.5;0.0;1199.0;0.0;370.0
135;156.5;557.0;971.5;0.0;0.0;-647.0;0.0;562.5;0.0;413.0
136;146.0;344.0;953.5;0.0;0.0;-355.5;0.0;404.5;0.0;281.0
137;609.0;311.0;1109.0;322.5;376.5;106.0;38.0;352.5;0.0;345.5
138;1403.0;801.5;1143.0;721.0;1060.5;402.5;352.0;1285.5;0.0;696.0
139;1273.5;890.5;1047.5;726.5;973.0;796.0;1409.0;1421.0;0.0;650.0
140;323.0;462.0;138.0;664.5;389.0;858.5;803.5;1054.0;0.0;256.5
141;-617.5;96.5;72.5;266.0;432.0;489.0;339.5;202.5;0.0;301.0
142;-755.5;89.0;168.0;338.0;335.5;521.5;276.5;0.0;0.0;319.5
143;-645.5;21.0;3.5;408.0;22.0;463.5;245.5;0.0;0.0;136.5
144;-1140.5;0.0;-653.5;267.0;-720.0;-181.0;-160.5;-213.5;167.5;-291.0
145;-1207.5;0.0;-975.0;411.0;-1293.0;-821.0;-801.0;-648.0;0.0;-1056.0
146;-1206.0;-59.0;-973.5;26.5;-1292.0;-1157.0;-962.0;-860.0;-312.0;-1188.0
147;-1206.5;-788.5;-1152.0;-687.0;-1291.0;-1283.0;-961.5;-1200.5;-770.5;-1204.0
148;-1206.0;-963.5;-1291.0;-969.5;-1291.0;-1282.0;-1095.0;-1286.5;-1076.0;-1223.5
149;-1204.0;-146.0;-1290.5;-968.5;-1290.0;-1134.0;-1168.5;-1286.0;-528.5;-1212.5
150;-1168.0;340.0;-1272.0;-969.5;-1290.0;-51.0;-333.5;-557.0;111.0;-1198.0
151;95.5;700.0;-287.0;-262.0;-1290.0;381.5;452.5;176.0;352.0;-1188.0
152;315.0;849.5;299.5;0.0;-1290.0;684.5;692.5;559.5;340.0;-1206.5
153;180.0;762.0;401.5;307.0;-1225.5;1202.5;951.5;1124.5;632.0;-1037.5
154;248.0;569.5;562.0;466.5;-647.0;1265.5;1163.0;796.0;408.5;-572.0
155;426.5;342.0;503.5;614.0;-649.0;1111.0;1300.0;612.5;279.5;-417.0
156;374.5;436.5;209.0;889.0;-63.5;966.0;1178.5;543.5;364.0;-734.0
157;514.5;346.0;108.5;811.0;-191.0;505.0;743.5;400.0;315.0;-865.5
158;469.5;289.0;-108.0;492.5;-487.0;385.5;809.5;284.0;456.0;-712.5
159;531.0;273.0;-488.5;491.0;-529.0;440.0;577.5;421.5;956.0;-375.5
160;375.0;348.5;-393.5;396.0;-971.5;415.0;393.5;558.0;709.0;-384.5
161;448.0;516.0;130.5;435.5;-584.0;349.5;355.5;876.0;624.5;-409.5
162;1309.5;551.5;419.0;411.0;0.0;202.0;328.5;1398.5;1316.5;-388.0
163;890.5;379.5;427.5;906.5;-216.5;269.5;343.0;1380.0;1382.0;-565.5
164;440.0;97.0;103.0;861.5;-487.0;292.5;259.0;656.0;672.0;-703.5
165;363.5;0.0;-363.5;329.0;-1012.5;119.5;203.5;-51.0;449.5;-945.5
166;250.5;173.0;-488.0;273.5;-671.0;203.0;188.5;-324.5;340.0;-1277.0
167;69.5;6.0;-848.5;243.0;-162.5;171.0;74.5;-273.0;0.0;-1281.5
168;-494.0;0.0;-1122.0;40.5;-270.0;-451.5;-527.0;-69.0;-1076.5;-1189.5
169;-1192.0;-90.5;-1291.5;-97.0;-544.5;-1189.0;-1280.0;-892.5;-1285.0;-1199.0
170;-1208.0;-494.0;-1288.0;-465.5;-1195.5;-1284.0;-1277.5;-1111.5;-1286.0;-1276.0
171;-1206.0;-692.5;-998.0;-959.0;-1284.5;-1284.0;-1277.0;-1290.0;-1284.0;-1277.0
172;-1206.0;-806.0;-1175.5;-1130.0;-1282.5;-1282.5;-1277.0;-1289.0;-1282.0;-1275.5
173;-1205.0;-807.5;-1287.5;-1130.0;-276.5;-835.0;-1276.0;-1076.0;-1280.5;-1203.5
174;-1139.0;-461.5;-647.0;-1129.5;153.0;-709.5;-729.0;-236.0;-1280.5;-6388.5
175;-141.0;486.5;-65.0;-1129.5;870.5;273.0;120.0;36.5;-1280.5;-1224.5
176;1429.5;581.0;1223.5;-1130.0;1101.0;451.5;309.0;292.0;-1173.5;-1226.0
177;979.0;447.5;870.5;-728.0;809.0;462.0;299.5;923.0;-1235.0;-1067.0
178;697.0;463.0;592.5;181.5;793.5;416.5;327.5;866.0;-1280.0;-819.5
179;406.5;438.0;374.5;417.5;564.5;330.5;285.5;995.5;-1280.0;-566.5
180;522.5;176.0;204.0;458.0;888.5;395.5;279.0;936.0;-1176.0;-539.5
181;450.0;62.0;206.0;207.0;678.5;506.0;253.5;640.0;-863.5;-508.5
182;454.0;1.0;291.0;-437.0;485.5;0.0;273.5;1009.0;-680.0;-37.0
183;262.5;269.5;75.0;-1095.5;382.0;0.0;780.0;257.5;-503.0;99.5
184;168.5;194.5;0.0;-1129.0;249.0;2.0;768.5;172.5;-146.0;384.5
185;879.0;453.0;631.0;-520.0;651.0;464.0;460.0;346.5;-28.5;548.5
186;1469.5;542.5;1118.0;0.0;958.5;888.0;403.0;758.0;150.5;1316.5
187;1304.5;416.5;1161.5;0.0;836.5;1325.0;463.5;1325.5;396.5;1423.0
188;343.0;81.0;498.5;0.0;254.0;933.5;250.5;794.0;416.0;509.0
189;-591.0;-484.5;-135.0;-193.5;0.0;556.5;292.5;0.0;-159.5;363.5
190;-573.5;-233.0;-295.5;-176.0;303.0;370.0;573.0;531.5;-642.0;99.5
191;-353.5;0.0;0.0;0.0;57.5;187.5;906.0;105.5;-642.0;-436.0
192;-991.0;-123.5;-121.5;-351.0;-632.0;0.0;364.5;443.5;-1076.5;-967.5
193;-1211.0;-322.5;-1080.0;-528.5;-1291.0;0.0;140.0;300.0;-1285.0;-1278.0
194;-1209.5;-676.5;-1290.0;-853.0;-1289.5;-195.0;-127.5;-255.5;-1286.0;-1185.0
195;-1211.0;-967.5;-1290.0;-965.0;-1288.0;-646.5;-929.0;-934.5;-1284.0;-1275.5
196;-1210.0;-967.0;-1287.0;-1015.5;-1288.0;-645.0;-1278.0;-1289.5;-1282.0;-1274.0
197;-1209.5;-967.5;-1290.5;-1123.0;-1129.0;-930.0;-1279.0;-1222.0;-1280.5;-1081.5
198;-1169.0;-760.5;-1289.5;-233.5;-330.5;-252.5;-634.5;-752.0;-1280.5;-454.5
199;-116.0;442.5;-1286.0;240.0;587.5;257.5;294.5;-325.0;-1280.5;274.0
200;338.5;993.0;-852.5;353.5;741.5;386.0;762.5;-204.0;-1173.5;535.0
201;124.5;847.5;-806.5;357.5;388.0;649.5;769.5;-8.5;-1235.0;914.5
202;277.5;844.0;-35.0;455.0;552.5;605.0;497.5;0.0;-1280.0;534.5
203;417.5;1070.5;127.5;695.0;535.0;358.5;382.5;50.0;-1280.0;440.0
204;379.5;945.5;410.0;281.5;454.5;348.0;194.5;246.0;-1176.0;276.0
205;361.5;488.0;319.5;306.5;268.0;298.5;459.0;82.5;-863.5;403.5
206;116.0;417.0;200.0;402.5;-31.0;318.0;1114.0;-345.0;-680.0;562.5
207;-373.0;343.0;366.0;497.5;-325.0;328.0;528.0;-737.5;-503.0;513.5
208;-315.5;323.0;297.0;411.0;-85.5;346.0;300.5;-125.0;-146.0;439.5
209;625.0;349.5;410.5;576.0;188.0;508.0;274.5;165.0;-28.5;837.5
210;1402.0;772.0;373.0;729.5;245.0;781.0;380.0;937.0;150.5;1261.0
211;1485.0;359.5;537.5;753.5;75.5;1405.5;278.0;613.5;396.5;1467.5
212;729.0;154.5;524.0;786.5;-712.5;719.5;104.5;318.0;416.0;965.0
213;-189.0;-595.0;-237.5;472.0;-1290.5;629.0;-609.0;188.5;-159.5;756.5
214;-273.0;-767.0;-649.0;568.5;-1288.5;340.5;-645.0;194.0;-642.0;964.5
